Time,data
1742480093.6975749,2004 left
1742480099.5965624,2006 right
1742480102.5941854,2007 right
1742480123.592302,2014 left
1742480135.5970345,2018 right
1742480150.5957398,2023 left
1742480159.5964277,2026 right
1742480171.591144,2030 left
1742480183.590272,2034 middle
1742480186.592058,2035 right
1742480189.5917206,2036 right
1742480201.6246455,2040 left
1742480210.5940905,2043 left
1742480216.5913785,2045 left
1742480222.5904458,2047 left
1742480228.5930636,2049 right
1742480234.5891783,2051 right
1742480258.591165,2059 right
1742480276.5923922,2065 right
1742480297.591822,2072 left
1742480312.5916357,2077 right
1742480330.5960226,2083 left
1742480348.5974245,2089 right
1742480360.5954084,2093 right
1742480363.5935066,2094 right
