Node_ID,X,Y,Theta
1000,-1.0,-0.999982,-0.000275239
1001,-1.03125,-0.818568,-0.0992451
1002,-1.04833,-0.631061,-0.186976
1003,-1.0536,-0.438447,-0.263469
1004,-1.04938,-0.241724,-0.328723
1005,-1.03345,-0.0639887,-0.386215
1006,-1.09628,0.115784,-0.418287
1007,-1.1533,0.3361,0.301371
1008,-1.25433,0.382083,0.328994
1009,-1.13146,0.576719,1.02516
1010,-0.949538,0.878122,1.02516
1011,-0.871966,1.00676,1.02138
1012,-0.871966,1.00676,1.02138
1013,-0.871966,1.00676,1.02138
1014,-0.871966,1.00676,1.02138
1015,-0.871966,1.00676,1.02138
